"raw_author_label","raw_year","normalized_source_id","effect_rows","hop_codes_present","source_locators","full_citation","title","container","doi","stable_url","resolution_status","resolution_confidence","candidate_count","disambiguation_basis","notes"
"Ehlers and Thompson 2004","2004","unresolved:ehlers-and-thompson-2004-2004","1","H1","Figure 3b","","","","","","ambiguous","ambiguous","5","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Gustafson and Casper 2004","2004","doi:10.1023/b:plso.0000020936.56786.a4","18","H2","Figure 1 | Figure 2 | Figure 3 | Figure 4 | Figure 5","Gustafson and Casper 2004. Nutrient addition affects AM fungal performance and expression of plant/fungal feedback in three serpentine grasses. Plant and Soil. https://doi.org/10.1023/b:plso.0000020936.56786.a4","Nutrient addition affects AM fungal performance and expression of plant/fungal feedback in three serpentine grasses","Plant and Soil","10.1023/b:plso.0000020936.56786.a4","https://doi.org/10.1023/b:plso.0000020936.56786.a4","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Knevel et al. 2004","2004","doi:10.1007/s00442-004-1662-8","1","H2","Figure 2","Knevel et al. 2004. Release from native root herbivores and biotic resistance by soil pathogens in a new habitat both affect the alien Ammophila arenaria in South Africa. Oecologia. https://doi.org/10.1007/s00442-004-1662-8","Release from native root herbivores and biotic resistance by soil pathogens in a new habitat both affect the alien Ammophila arenaria in South Africa","Oecologia","10.1007/s00442-004-1662-8","https://doi.org/10.1007/s00442-004-1662-8","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Packer and Clay 2004","2004","unresolved:packer-and-clay-2004-2004","4","H2|HU","Figure 2","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Reinhart and Callaway 2004","2004","doi:10.1890/03-5204","10","H2","Figure 2","Reinhart and Callaway 2004. SOIL BIOTA FACILITATE EXOTIC ACER INVASIONS IN EUROPE AND NORTH AMERICA. Ecological Applications. https://doi.org/10.1890/03-5204","SOIL BIOTA FACILITATE EXOTIC ACER INVASIONS IN EUROPE AND NORTH AMERICA","Ecological Applications","10.1890/03-5204","https://doi.org/10.1890/03-5204","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): S","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Suding et al. 2004","2004","unresolved:suding-et-al-2004-2004","2","H1","Figure 2","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Agrawal et al. 2005","2005","doi:10.1890/05-0219","20","HU","Author","Agrawal et al. 2005. ENEMY RELEASE? AN EXPERIMENT WITH CONGENERIC PLANT PAIRS AND DIVERSE ABOVE- AND BELOWGROUND ENEMIES. Ecology. https://doi.org/10.1890/05-0219","ENEMY RELEASE? AN EXPERIMENT WITH CONGENERIC PLANT PAIRS AND DIVERSE ABOVE- AND BELOWGROUND ENEMIES","Ecology","10.1890/05-0219","https://doi.org/10.1890/05-0219","doi_resolved","high","5","unique candidate present in published PSF reference pool(s): S","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Belnap et al. 2005","2005","doi:10.1890/05-0333","2","H2","Figure 2","Belnap et al. 2005. SOIL BIOTA CAN CHANGE AFTER EXOTIC PLANT INVASION: DOES THIS AFFECT ECOSYSTEM PROCESSES?. Ecology. https://doi.org/10.1890/05-0333","SOIL BIOTA CAN CHANGE AFTER EXOTIC PLANT INVASION: DOES THIS AFFECT ECOSYSTEM PROCESSES?","Ecology","10.1890/05-0333","https://doi.org/10.1890/05-0333","doi_resolved","moderate","3","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bonanomi and Mazzoleni 2005 CE","2005","doi:10.1556/comec.6.2005.1.3","14","HU","Figure 2 | Figure 3","Bonanomi and Mazzoleni 2005 CE. Soil history affects plant growth and competitive ability in herbaceous species. Community Ecology. https://doi.org/10.1556/comec.6.2005.1.3","Soil history affects plant growth and competitive ability in herbaceous species","Community Ecology","10.1556/comec.6.2005.1.3","https://doi.org/10.1556/comec.6.2005.1.3","doi_resolved","high","4","raw label journal suffix uniquely matched Community Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bonanomi et al. 2005 PE","2005","doi:10.1007/s11258-005-7221-5","1","H2","Figure 5","Bonanomi et al. 2005 PE. Negative Plant–Soil Feedback and Positive Species Interaction in a Herbaceous Plant Community. Plant Ecology. https://doi.org/10.1007/s11258-005-7221-5","Negative Plant–Soil Feedback and Positive Species Interaction in a Herbaceous Plant Community","Plant Ecology","10.1007/s11258-005-7221-5","https://doi.org/10.1007/s11258-005-7221-5","doi_resolved","high","4","raw label journal suffix uniquely matched Plant Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Reinhart et al. 2005a Ecography","2005","doi:10.1111/j.2005.0906-7590.04166.x","2","H1","Figure 5","Reinhart et al. 2005a Ecography. Effects of <i>Acer platanoides</i> invasion on understory plant communities and tree regeneration in the northern Rocky Mountains. Ecography. https://doi.org/10.1111/j.2005.0906-7590.04166.x","Effects of <i>Acer platanoides</i> invasion on understory plant communities and tree regeneration in the northern Rocky Mountains","Ecography","10.1111/j.2005.0906-7590.04166.x","https://doi.org/10.1111/j.2005.0906-7590.04166.x","doi_resolved","high","2","raw label journal suffix uniquely matched Ecography","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bezemer et al. 2006a Ecology","2006","doi:10.1890/0012-9658(2006)87[2002:ibsjap]2.0.co;2","2","HU","Figure 4","Bezemer et al. 2006a Ecology. INTERPLAY BETWEEN<i>SENECIO JACOBAEA</i>AND PLANT, SOIL, AND ABOVEGROUND INSECT COMMUNITY COMPOSITION. Ecology. https://doi.org/10.1890/0012-9658(2006)87[2002:ibsjap]2.0.co;2","INTERPLAY BETWEEN<i>SENECIO JACOBAEA</i>AND PLANT, SOIL, AND ABOVEGROUND INSECT COMMUNITY COMPOSITION","Ecology","10.1890/0012-9658(2006)87[2002:ibsjap]2.0.co;2","https://doi.org/10.1890/0012-9658(2006)87[2002:ibsjap]2.0.co;2","doi_resolved","high","2","raw label journal suffix uniquely matched Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bezemer et al. 2006b JE","2006","doi:10.1111/j.1365-2745.2006.01158.x","13","HU","Figure 1","Bezemer et al. 2006b JE. Plant species and functional group effects on abiotic and microbial soil properties and plant–soil feedback responses in two grasslands. Journal of Ecology. https://doi.org/10.1111/j.1365-2745.2006.01158.x","Plant species and functional group effects on abiotic and microbial soil properties and plant–soil feedback responses in two grasslands","Journal of Ecology","10.1111/j.1365-2745.2006.01158.x","https://doi.org/10.1111/j.1365-2745.2006.01158.x","doi_resolved","high","2","raw label journal suffix uniquely matched Journal of Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bodelier et al. 2006","2006","unresolved:bodelier-et-al-2006-2006","6","H2","Figure 4a","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Gillespie and Allen 2006","2006","doi:10.1016/j.apsoil.2005.03.008","3","H2","Figure 2a","Gillespie and Allen 2006. Effects of soil and mycorrhizae from native and invaded vegetation on a rare California forb. Applied Soil Ecology. https://doi.org/10.1016/j.apsoil.2005.03.008","Effects of soil and mycorrhizae from native and invaded vegetation on a rare California forb","Applied Soil Ecology","10.1016/j.apsoil.2005.03.008","https://doi.org/10.1016/j.apsoil.2005.03.008","doi_resolved","moderate","3","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kardol et al. 2006","2006","doi:10.1111/j.1461-0248.2006.00953.x","12","H2|HU","Figure 1","Kardol et al. 2006. Temporal variation in plant–soil feedback controls succession. Ecology Letters. https://doi.org/10.1111/j.1461-0248.2006.00953.x","Temporal variation in plant–soil feedback controls succession","Ecology Letters","10.1111/j.1461-0248.2006.00953.x","https://doi.org/10.1111/j.1461-0248.2006.00953.x","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): SC","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kulmatiski et al. 2006","2006","unresolved:kulmatiski-et-al-2006-2006","2","H1","Figure 1","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Meiman et al. 2006","2006","doi:10.1016/j.apsoil.2005.02.016","1","H2","Author","Meiman et al. 2006. The role of the native soil community in the invasion ecology of spotted (Centaurea maculosa auct. non Lam.) and diffuse (Centaurea diffusa Lam.) knapweed. Applied Soil Ecology. https://doi.org/10.1016/j.apsoil.2005.02.016","The role of the native soil community in the invasion ecology of spotted (Centaurea maculosa auct. non Lam.) and diffuse (Centaurea diffusa Lam.) knapweed","Applied Soil Ecology","10.1016/j.apsoil.2005.02.016","https://doi.org/10.1016/j.apsoil.2005.02.016","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Morris et al. 2006","2006","unresolved:morris-et-al-2006-2006","1","H2","Table 3, Text","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Puerta-Pinero et al. 2006","2006","unresolved:puerta-pinero-et-al-2006-2006","7","H2","Table 2","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Suguenza et al. 2006","2006","unresolved:suguenza-et-al-2006-2006","12","H2","Figure 1a | Figure 1b","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Blank and Sforza 2007","2007","doi:10.1007/s11104-007-9308-3","4","H2","Author","Blank and Sforza 2007. Plant–soil relationships of the invasive annual grass Taeniatherum caput-medusae: a reciprocal transplant experiment. Plant and Soil. https://doi.org/10.1007/s11104-007-9308-3","Plant–soil relationships of the invasive annual grass Taeniatherum caput-medusae: a reciprocal transplant experiment","Plant and Soil","10.1007/s11104-007-9308-3","https://doi.org/10.1007/s11104-007-9308-3","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Casper and Castelli 2007","2007","doi:10.1111/j.1461-0248.2007.01030.x","6","H1","Figure 1","Casper and Castelli 2007. Evaluating plant–soil feedback together with competition in a serpentine grassland. Ecology Letters. https://doi.org/10.1111/j.1461-0248.2007.01030.x","Evaluating plant–soil feedback together with competition in a serpentine grassland","Ecology Letters","10.1111/j.1461-0248.2007.01030.x","https://doi.org/10.1111/j.1461-0248.2007.01030.x","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Dickie et al. 2007","2007","unresolved:dickie-et-al-2007-2007","1","H1","Table 1","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kardol et al. 2007","2007","doi:10.1890/06-0502","7","HU","Author","Kardol et al. 2007. MICROBE‐MEDIATED PLANT–SOIL FEEDBACK CAUSES HISTORICAL CONTINGENCY EFFECTS IN PLANT COMMUNITY ASSEMBLY. Ecological Monographs. https://doi.org/10.1890/06-0502","MICROBE‐MEDIATED PLANT–SOIL FEEDBACK CAUSES HISTORICAL CONTINGENCY EFFECTS IN PLANT COMMUNITY ASSEMBLY","Ecological Monographs","10.1890/06-0502","https://doi.org/10.1890/06-0502","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Nijjer et al. 2007","2007","doi:10.1098/rspb.2007.0804","10","H2","Figure 1b","Nijjer et al. 2007. Negative plant–soil feedbacks may limit persistence of an invasive tree due to rapid accumulation of soil pathogens. Proceedings of the Royal Society B: Biological Sciences. https://doi.org/10.1098/rspb.2007.0804","Negative plant–soil feedbacks may limit persistence of an invasive tree due to rapid accumulation of soil pathogens","Proceedings of the Royal Society B: Biological Sciences","10.1098/rspb.2007.0804","https://doi.org/10.1098/rspb.2007.0804","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Niu et al 2007","2007","doi:10.1007/s11104-007-9230-8","8","H2","Figure 4","Niu et al 2007. An invasive aster (Ageratina adenophora) invades and dominates forest understories in China: altered soil microbial communities facilitate the invader and inhibit natives. Plant and Soil. https://doi.org/10.1007/s11104-007-9230-8","An invasive aster (Ageratina adenophora) invades and dominates forest understories in China: altered soil microbial communities facilitate the invader and inhibit natives","Plant and Soil","10.1007/s11104-007-9230-8","https://doi.org/10.1007/s11104-007-9230-8","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Van der Putten et al. 2007","2007","doi:10.1890/06-1051","2","H2","Figure 1","Van der Putten et al. 2007. SOIL FEEDBACK OF EXOTIC SAVANNA GRASS RELATES TO PATHOGEN ABSENCE AND MYCORRHIZAL SELECTIVITY. Ecology. https://doi.org/10.1890/06-1051","SOIL FEEDBACK OF EXOTIC SAVANNA GRASS RELATES TO PATHOGEN ABSENCE AND MYCORRHIZAL SELECTIVITY","Ecology","10.1890/06-1051","https://doi.org/10.1890/06-1051","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"VanGrunsven et al. 2007","2007","unresolved:vangrunsven-et-al-2007-2007","8","HU","Author","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"van Grunsven et al. 2007","2007","unresolved:van-grunsven-et-al-2007-2007","4","HU","Author","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"van der Putten et al. 2007","2007","doi:10.1890/06-1051","1","H2","Figure 1","van der Putten et al. 2007. SOIL FEEDBACK OF EXOTIC SAVANNA GRASS RELATES TO PATHOGEN ABSENCE AND MYCORRHIZAL SELECTIVITY. Ecology. https://doi.org/10.1890/06-1051","SOIL FEEDBACK OF EXOTIC SAVANNA GRASS RELATES TO PATHOGEN ABSENCE AND MYCORRHIZAL SELECTIVITY","Ecology","10.1890/06-1051","https://doi.org/10.1890/06-1051","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Batten et al. 2008","2008","unresolved:batten-et-al-2008-2008","4","HU","Figure 4","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Casper,2008","2008","doi:10.1890/07-1277.1","42","HU","Figure 2","Casper,2008. PLANT–SOIL FEEDBACK: TESTING THE GENERALITY WITH THE SAME GRASSES IN SERPENTINE AND PRAIRIE SOILS. Ecology. https://doi.org/10.1890/07-1277.1","PLANT–SOIL FEEDBACK: TESTING THE GENERALITY WITH THE SAME GRASSES IN SERPENTINE AND PRAIRIE SOILS","Ecology","10.1890/07-1277.1","https://doi.org/10.1890/07-1277.1","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): S","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Jordan et al. 2008","2008","unresolved:jordan-et-al-2008-2008","6","HU","Figure 1 | Figure 2 | Figure 3","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kulmatiski, unpubl. Data","2008","unresolved:kulmatiski-unpubl-data-2008","6","H1","Author","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Manning,2008","2008","doi:10.1007/s00442-008-1104-0","112","HU","Xi et al. 2021","Manning,2008. Nitrogen enrichment modifies plant community structure via changes to plant–soil feedback. Oecologia. https://doi.org/10.1007/s00442-008-1104-0","Nitrogen enrichment modifies plant community structure via changes to plant–soil feedback","Oecologia","10.1007/s00442-008-1104-0","https://doi.org/10.1007/s00442-008-1104-0","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Petermann et al. 2008","2008","doi:10.1890/07-2056.1","240","H2","Authors","Petermann et al. 2008. JANZEN‐CONNELL EFFECTS ARE WIDESPREAD AND STRONG ENOUGH TO MAINTAIN DIVERSITY IN GRASSLANDS. Ecology. https://doi.org/10.1890/07-2056.1","JANZEN‐CONNELL EFFECTS ARE WIDESPREAD AND STRONG ENOUGH TO MAINTAIN DIVERSITY IN GRASSLANDS","Ecology","10.1890/07-2056.1","https://doi.org/10.1890/07-2056.1","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): C","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Markham,2009","2009","unresolved:markham-2009-2009","16","H2","Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Fitzsimons et al. 2010","2010","unresolved:fitzsimons-et-al-2010-2010","20","HU","Figure 1","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Harrison,2010","2010","doi:10.1111/j.1365-2745.2009.01614.x","32","HU","Xi et al. 2021","Harrison,2010. Influence of plant species and soil conditions on plant–soil feedback in mixed grassland communities. Journal of Ecology. https://doi.org/10.1111/j.1365-2745.2009.01614.x","Influence of plant species and soil conditions on plant–soil feedback in mixed grassland communities","Journal of Ecology","10.1111/j.1365-2745.2009.01614.x","https://doi.org/10.1111/j.1365-2745.2009.01614.x","doi_resolved","moderate","5","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Jiang, 2010","2010","doi:10.1007/s11284-010-0735-x","30","H1","Xi et al. 2021","Jiang, 2010. The role of plant–soil feedbacks and land‐use legacies in restoration of a temperate steppe in northern China. Ecological Research. https://doi.org/10.1007/s11284-010-0735-x","The role of plant–soil feedbacks and land‐use legacies in restoration of a temperate steppe in northern China","Ecological Research","10.1007/s11284-010-0735-x","https://doi.org/10.1007/s11284-010-0735-x","doi_resolved","moderate","5","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kueffer 2010","2010","unresolved:kueffer-2010-2010","2","H2","Figure 1","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Mangan et al. 2010","2010","doi:10.1038/nature09273","19","H1","Crowford2019","Mangan et al. 2010. Negative plant–soil feedback predicts tree-species relative abundance in a tropical forest. Nature. https://doi.org/10.1038/nature09273","Negative plant–soil feedback predicts tree-species relative abundance in a tropical forest","Nature","10.1038/nature09273","https://doi.org/10.1038/nature09273","doi_resolved","high","3","unique candidate with strongest published-reference-pool support: SXC","Resolution is bibliographic only; it does not replace primary-method hop coding."
"de la Pena et al. 2010","2010","doi:10.1007/s10530-010-9756-1","8","H2|HU","Figure 1a | Figure 2a | Figure 3a","de la Pena et al. 2010. Plant-soil feedback as a mechanism of invasion by Carpobrotus edulis. Biological Invasions. https://doi.org/10.1007/s10530-010-9756-1","Plant-soil feedback as a mechanism of invasion by Carpobrotus edulis","Biological Invasions","10.1007/s10530-010-9756-1","https://doi.org/10.1007/s10530-010-9756-1","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"van Grunsven,2010a","2010","unresolved:van-grunsven-2010a-2010","24","HU","Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Dostal,2011","2011","unresolved:dostal-2011-2011","9","HU","Figure 2 | Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kulmatiski et al. 2011 JE","2011","doi:10.1111/j.1365-2745.2010.01784.x","32","HU","Table 2","Kulmatiski et al. 2011 JE. Testing predictions of a three‐species plant–soil feedback model. Journal of Ecology. https://doi.org/10.1111/j.1365-2745.2010.01784.x","Testing predictions of a three‐species plant–soil feedback model","Journal of Ecology","10.1111/j.1365-2745.2010.01784.x","https://doi.org/10.1111/j.1365-2745.2010.01784.x","doi_resolved","high","3","raw label journal suffix uniquely matched Journal of Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kulmatiski et al. 2011 SBB","2011","doi:10.1016/j.soilbio.2010.12.018","2","H2","Figure 4","Kulmatiski et al. 2011 SBB. Long-term plant growth legacies overwhelm short-term plant growth effects on soil microbial community structure. Soil Biology and Biochemistry. https://doi.org/10.1016/j.soilbio.2010.12.018","Long-term plant growth legacies overwhelm short-term plant growth effects on soil microbial community structure","Soil Biology and Biochemistry","10.1016/j.soilbio.2010.12.018","https://doi.org/10.1016/j.soilbio.2010.12.018","doi_resolved","high","3","raw label journal suffix uniquely matched Soil Biology and Biochemistry","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Li et al. 2011 SAS","2011","doi:10.2316/p.2011.715-093","3","H2","Figure 1","Li et al. 2011 SAS. Irrigation Optimization by Modeling of Plant-Soil Interaction. Applied Simulation and Modelling. https://doi.org/10.2316/p.2011.715-093","Irrigation Optimization by Modeling of Plant-Soil Interaction","Applied Simulation and Modelling","10.2316/p.2011.715-093","https://doi.org/10.2316/p.2011.715-093","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Li et al. 2011 SASB","2011","doi:10.2316/p.2011.715-093","1","H2","Figure 4","Li et al. 2011 SASB. Irrigation Optimization by Modeling of Plant-Soil Interaction. Applied Simulation and Modelling. https://doi.org/10.2316/p.2011.715-093","Irrigation Optimization by Modeling of Plant-Soil Interaction","Applied Simulation and Modelling","10.2316/p.2011.715-093","https://doi.org/10.2316/p.2011.715-093","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Meijer et al. 2011","2011","doi:10.1093/jpe/rtr011","3","HU","Apendix A","Meijer et al. 2011. Effects of plant–soil feedback on tree seedling growth under arid conditions. Journal of Plant Ecology. https://doi.org/10.1093/jpe/rtr011","Effects of plant–soil feedback on tree seedling growth under arid conditions","Journal of Plant Ecology","10.1093/jpe/rtr011","https://doi.org/10.1093/jpe/rtr011","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Morrien et al. 2011","2011","unresolved:morrien-et-al-2011-2011","30","HU","Figure A1","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
